participant,session,task,event_type,covariate,time,GFP_left,GFP_right,fMotionArea_left,fMotionArea_right,GazeCubes_left,GazeCubes_right,Marquardt2017GFP_left,Marquardt2017GFP_right
sub_0000,ses_com,gic,Cubes_1,intercept,6.825,-0.490810349122785,0.408151558340779,0.0272505633491551,0.250128053506898,-0.213972462949428,-0.533633834604802,-0.044339990920686,0.269799599035685
sub_0000,ses_com,gic,Cubes_1,intercept,6.9,-0.501381076441419,0.397082378222351,0.00573177457605752,0.224543659734968,-0.207974792827816,-0.538162963419118,-0.0538254566777715,0.253484174591617
sub_0000,ses_com,gic,Cubes_1,intercept,6.975,-0.511260956375034,0.384480796447116,-0.0144133258060632,0.197784450359495,-0.202955106288257,-0.542691446969061,-0.0626634305463013,0.237484139990249
sub_0000,ses_com,gic,Cubes_1,intercept,7.05,-0.520314697618031,0.370539194750801,-0.0331072218011647,0.170005271351145,-0.19888563493827,-0.547161917161341,-0.0708507765471711,0.221806467600859
sub_0000,ses_com,gic,Cubes_1,intercept,7.125,-0.528411008020349,0.355462748168298,-0.0502947253643994,0.141373173166019,-0.195720057703942,-0.55151341955367,-0.0783879841526111,0.206449635602265
sub_0000,ses_com,gic,Cubes_1,intercept,7.2,-0.535424849262011,0.339465820104839,-0.0659434363141538,0.112065250115337,-0.193394746106971,-0.555682638194039,-0.0852789107250771,0.191404306228924
sub_0000,ses_com,gic,Cubes_1,intercept,7.275,-0.541239609012986,0.322768204160258,-0.0800438177408512,0.0822662995394726,-0.191830320170805,-0.559605165009606,-0.0915305289563812,0.176654110020601
sub_0000,ses_com,gic,Cubes_1,intercept,7.35,-0.545749149208826,0.305591283235616,-0.092608885793645,0.0521663407561929,-0.190933482622271,-0.563216788147895,-0.0971526830471688,0.162176519646527
sub_0000,ses_com,gic,Cubes_1,intercept,7.425,-0.548859691372118,0.288154178156967,-0.103673519730282,0.0219580364837786,-0.190599094033759,-0.566454773431558,-0.102157856617456,0.147943795755808
sub_0000,ses_com,gic,Cubes_1,intercept,7.5,-0.550491502973704,0.270669958363054,-0.113293405024478,-0.00816593862384771,-0.190712447274756,-0.569259113360666,-0.106560954560189,0.133923986518126
sub_0000,ses_com,gic,Cubes_1,intercept,7.575,-0.550580352595872,0.253341986113656,-0.121543629008606,-0.0380155365891156,-0.191151696188797,-0.5715737188761,-0.110379100262027,0.120081962070764
sub_0000,ses_com,gic,Cubes_1,intercept,7.65,-0.549078706058195,0.236360463201809,-0.128516954860975,-0.067405935880628,-0.191790390845046,-0.573347530367018,-0.11363144883888,0.106380464981746
sub_0000,ses_com,gic,Cubes_1,intercept,7.725,-0.545956640608994,0.219899245341849,-0.134321805606557,-0.0961600569644885,-0.192500070077557,-0.57453552613756,-0.116339016287606,0.0927811580699185
sub_0000,ses_com,gic,Cubes_1,intercept,7.8,-0.5412024596745,0.204112984328182,-0.139079995076653,-0.124110949724677,-0.193152861346454,-0.575099608707113,-0.118524523757998,0.0792456514805555
sub_0000,ses_com,gic,Cubes_1,intercept,7.875,-0.534822996387719,0.189134651813306,-0.142924247366545,-0.151104011127974,-0.193624038241875,-0.575009351860068,-0.120212255517613,0.0657364917831465
sub_0000,ses_com,gic,Cubes_1,intercept,7.95,-0.526843600077367,0.175073491257787,-0.145995550153479,-0.17699899457822,-0.1937944871926,-0.574242594233393,-0.121427928631041,0.0522180970142834
sub_0000,ses_com,gic,Cubes_1,intercept,8.025,-0.517307805966855,0.162013436399531,-0.148440390217746,-0.201671776197606,-0.193553037107682,-0.572785868375112,-0.122198571917765,0.0386576230060917
sub_0000,ses_com,gic,Cubes_1,intercept,8.1,-0.506276694395227,0.150012025633243,-0.150407921590498,-0.225015847717448,-0.192798608723862,-0.570634657560471,-0.122552411399006,0.025025747987879
sub_0000,ses_com,gic,Cubes_1,intercept,8.175,-0.493827951806998,0.139099832156041,-0.152047117893797,-0.246943510673319,-0.191442144290035,-0.567793476147591,-0.122518759201777,0.0112973642903296
sub_0000,ses_com,gic,Cubes_1,intercept,8.25,-0.480054651449845,0.129280419806569,-0.153503960619483,-0.267386752084239,-0.189408282812928,-0.564275772820551,-0.122127902762456,-0.00254783202069642
sub_0000,ses_com,gic,Cubes_1,intercept,8.325,-0.465063777056191,0.120530824394648,-0.154918714310425,-0.286297787648589,-0.18663675132181,-0.560103659633695,-0.121410991164684,-0.0165248606406034
sub_0000,ses_com,gic,Cubes_1,intercept,8.4,-0.448974517662664,0.112802550183109,-0.156423337875511,-0.303649264599127,-0.183083448378797,-0.555307473265163,-0.1203999155562,-0.0306430905262136
sub_0000,ses_com,gic,Cubes_1,intercept,8.475,-0.431916366044481,0.106023061239721,-0.158139078621345,-0.319434122609702,-0.178721202249427,-0.549925178240534,-0.119127180812587,-0.0449059900563438
sub_0000,ses_com,gic,Cubes_1,intercept,8.55,-0.4140270569257,0.100097737818107,-0.160174292069581,-0.333665117417906,-0.173540192632358,-0.54400162503227,-0.117625765946178,-0.0593109943049066
sub_0000,ses_com,gic,Cubes_1,intercept,8.625,-0.395450384099052,0.094912258938327,-0.162622526315965,-0.346374018001724,-0.167548031498554,-0.537587678814915,-0.115928971186155,-0.0738494877278484
sub_0000,ses_com,gic,Cubes_1,intercept,8.7,-0.376333937792999,0.0903353640951548,-0.165560904657712,-0.357610494106771,-0.160769505278073,-0.530739237202782,-0.11407025016971,-0.0885068985080643
sub_0000,ses_com,gic,Cubes_1,intercept,8.775,-0.356826805016044,0.0862219396856701,-0.169048834565392,-0.36744071655071,-0.15324598722497,-0.523516157465851,-0.112083026269929,-0.103262898876122
sub_0000,ses_com,gic,Cubes_1,intercept,8.85,-0.33707727616268,0.0824163694606573,-0.173127064911687,-0.375945697926167,-0.145034535159071,-0.515981115468225,-0.110000492728352,-0.118091703963187
sub_0000,ses_com,gic,Cubes_1,intercept,8.925,-0.317230600871534,0.0787560831891969,-0.177817106809212,-0.383219405984451,-0.136206695803574,-0.508198419867431,-0.107855396941731,-0.132962460176132
sub_0000,ses_com,gic,Cubes_1,intercept,9,-0.297426834991003,0.0750752338828079,-0.183121026577847,-0.389366686021722,-0.126847042493002,-0.500232805927289,-0.105679809955142,-0.147839712739138
sub_0000,ses_com,gic,Cubes_1,intercept,9.075,-0.277798818554244,0.0712084314299024,-0.18902161238822,-0.394501031930895,-0.117051478010337,-0.49214823361645,-0.103504882918492,-0.162683940942033
sub_0000,ses_com,gic,Cubes_1,intercept,9.15,-0.258470321933195,0.0669944593923451,-0.195482909144451,-0.39874224816414,-0.106925338630106,-0.484006714483685,-0.101360592951471,-0.177452148788844
sub_0000,ses_com,gic,Cubes_1,intercept,9.225,-0.239554393885065,0.0622799020356303,-0.202451109308143,-0.402214046624555,-0.0965813390144388,-0.47586719112411,-0.09927548151424,-0.192098498160823
sub_0000,ses_com,gic,Cubes_1,intercept,9.3,-0.221151941093612,0.0569226103970952,-0.209855780756613,-0.405041623439395,-0.0861374003653695,-0.467784491892354,-0.0972763889793407,-0.206574971301189
sub_0000,ses_com,gic,Cubes_1,intercept,9.375,-0.203350564123276,0.0507949393096743,-0.217611406536204,-0.407349260645191,-0.0757144061292577,-0.45980838190327,-0.0953881896273654,-0.220832049393168
sub_0000,ses_com,gic,Cubes_1,intercept,9.45,-0.18622366954018,0.0437866917321491,-0.225619205633396,-0.409257997037943,-0.0654339305455501,-0.451982729321512,-0.0936335317289699,-0.234819394232189
sub_0000,ses_com,gic,Cubes_1,intercept,9.525,-0.169829872412773,0.0358077124051103,-0.233769198750024,-0.410883410826301,-0.0554159854178243,-0.444344803519887,-0.0920325877150587,-0.248486520475774
sub_0000,ses_com,gic,Cubes_1,intercept,9.6,-0.154212697596424,0.0267900796453931,-0.241942478630094,-0.412333554305722,-0.0457768296637534,-0.436924718932251,-0.0906028196636372,-0.261783446674026
sub_0000,ses_com,gic,Cubes_1,intercept,9.675,-0.139400582245963,0.0166898518790967,-0.250013640826856,-0.413707077595597,-0.0366268844940194,-0.429745035395781,-0.0893587654366282,-0.274661314218725
sub_0000,ses_com,gic,Cubes_1,intercept,9.75,-0.12540717600616,0.00548833414368186,-0.257853327987194,-0.415091574612666,-0.0280687945175435,-0.422820522531448,-0.0883118507763214,-0.287072964474549
sub_0000,ses_com,gic,Cubes_1,intercept,9.825,-0.112231929421252,-0.00680716090418163,-0.265330838816979,-0.416562179969122,-0.0201956717276176,-0.41615809231603,-0.087470232515304,-0.298973465643359
sub_0000,ses_com,gic,Cubes_1,intercept,9.9,-0.0998609553979972,-0.0201630731367036,-0.272316751909415,-0.418180440470991,-0.013089555262125,-0.409756900523015,-0.086838677765005,-0.310320582330261
sub_0000,ses_com,gic,Cubes_1,intercept,9.975,-0.0882681431654143,-0.0345198818135855,-0.278685514584205,-0.419993479449957,-0.00682011513658721,-0.403608614223509,-0.0864184835286594,-0.321075182294727
sub_0000,ses_com,gic,Cubes_1,intercept,10.05,-0.0774164992050124,-0.0497929144891371,-0.284317947796096,-0.42203346639612,-0.00144362291912349,-0.397697839112358,-0.0862074406399093,-0.331201576446417
sub_0000,ses_com,gic,Cubes_1,intercept,10.125,-0.0672596851764227,-0.0658736631778098,-0.289103620006421,-0.424317398382812,0.00299779334020384,-0.392002697128508,-0.0861998452667137,-0.340667789747801
sub_0000,ses_com,gic,Cubes_1,intercept,10.2,-0.0577437190228067,-0.0826315831448641,-0.292943045632259,-0.426847193703621,0.00647659858044169,-0.38649554173873,-0.086386560452842,-0.349445762278681
sub_0000,ses_com,gic,Cubes_1,intercept,10.275,-0.0488088022842566,-0.0999163403213211,-0.295749667239644,-0.429610092094117,0.00897999941172808,-0.381143795413138,-0.0867551293097517,-0.357511481266561
sub_0000,ses_com,gic,Cubes_1,intercept,10.35,-0.0403912342379145,-0.117560464631924,-0.297451584958915,-0.432579350003454,0.0105097930375161,-0.375910891296827,-0.0872899405361635,-0.364845046358277
sub_0000,ses_com,gic,Cubes_1,intercept,10.425,-0.0324253718682905,-0.135382358640209,-0.297993001586297,-0.435715213728076,0.0110819236018822,-0.370757298925801,-0.0879724459493519,-0.371430671771622
sub_0000,ses_com,gic,Cubes_1,intercept,10.5,-0.024845593882002,-0.153189604008593,-0.297335357398288,-0.43896614793001,0.0107257591144744,-0.365641612090783,-0.0887814286808718,-0.377256630192752
sub_0000,ses_com,gic,Cubes_1,intercept,10.575,-0.0175882270332988,-0.170782502477103,-0.295458134735355,-0.442270292237109,0.00948310776520903,-0.360521675655197,-0.0896933196413358,-0.382315144351442
sub_0000,ses_com,gic,Cubes_1,intercept,10.65,-0.0105933939189415,-0.187957783493983,-0.292359318791528,-0.445557114354317,0.0074069976784729,-0.355355727310082,-0.0906825588159141,-0.386602233091228
sub_0000,ses_com,gic,Cubes_1,intercept,10.725,-0.00380674311530033,-0.204512407372863,-0.288055507652746,-0.448749224484579,0.00456024886747521,-0.350103529915975,-0.0917219969369131,-0.390117519438761
sub_0000,ses_com,gic,Cubes_1,intercept,10.8,0.00281897496736996,-0.220247390967134,-0.28258167133172,-0.451764312933813,0.00101387023963847,-0.344727470247165,-0.0927833321144529,-0.392864008654837
sub_0000,ses_com,gic,Cubes_1,intercept,10.875,0.00932251989859998,-0.234971582378281,-0.275990566221247,-0.454517170610872,-0.00315468210754943,-0.339193600614303,-0.0938375751127693,-0.394847844511716
sub_0000,ses_com,gic,Cubes_1,intercept,10.95,0.0157329901812884,-0.248505312159734,-0.268351817903463,-0.456921750770087,-0.00786334644059239,-0.333472600984376,-0.0948555361588594,-0.396078052085867
sub_0000,ses_com,gic,Cubes_1,intercept,11.025,0.0220688943087833,-0.260683850822,-0.25975069148471,-0.45889322980445,-0.0130273561333292,-0.327540640820137,-0.0958083254815063,-0.396566275185229
sub_0000,ses_com,gic,Cubes_1,intercept,11.1,0.0283374838752691,-0.271360606142098,-0.250286574456074,-0.460350025189393,-0.018561157991276,-0.321380121892348,-0.0966678592196738,-0.396326516153738
sub_0000,ses_com,gic,Cubes_1,intercept,11.175,0.0345343632700282,-0.28040999875806,-0.240071202397812,-0.461215729791574,-0.0243803064710947,-0.314980285737345,-0.0974073619251577,-0.395374885225701
sub_0000,ses_com,gic,Cubes_1,intercept,11.25,0.040643384769451,-0.287729960689984,-0.229226662551821,-0.461420923669386,-0.0304032929008105,-0.308337672191212,-0.0980018566278588,-0.393729365855912
sub_0000,ses_com,gic,Cubes_1,intercept,11.325,0.0466368319405146,-0.293244008652534,-0.217883214292325,-0.460904827161549,-0.0365532704483322,-0.301456418475107,-0.0984286333428434,-0.391409601549
sub_0000,ses_com,gic,Cubes_1,intercept,11.4,0.0524758883035334,-0.296902852168918,-0.206176968757351,-0.45961676243208,-0.0427596380422651,-0.294348391573109,-0.0986676869830327,-0.388436708677933
sub_0000,ses_com,gic,Cubes_1,intercept,11.475,0.05811138228941,-0.298685505404646,-0.194247472303656,-0.457517394645338,-0.0489594496675238,-0.287033150068835,-0.0987021159031195,-0.384833118644148
sub_0000,ses_com,gic,Cubes_1,intercept,11.55,0.0634847937854886,-0.298599881137381,-0.182235239973881,-0.454579728502795,-0.0550986193709293,-0.279537735121233,-0.0985184727388499,-0.380622451520165
sub_0000,ses_com,gic,Cubes_1,intercept,11.625,0.0685295021092848,-0.296682855182329,-0.170279285791586,-0.450789840891937,-0.0611328968368833,-0.271896293792589,-0.0981070598173209,-0.37582942206084
sub_0000,ses_com,gic,Cubes_1,intercept,11.7,0.073172250190052,-0.292999799708627,-0.158514696420559,-0.446147335776929,-0.0670285934359719,-0.26414954142184,-0.0974621621910626,-0.370479777703981
sub_0000,ses_com,gic,Cubes_1,intercept,11.775,0.0773347951758892,-0.287643594014826,-0.147070293549606,-0.440665513093017,-0.0727630441051618,-0.256344073093195,-0.0965822122806484,-0.364600266937038
sub_0000,ses_com,gic,Cubes_1,intercept,11.85,0.0809357117106221,-0.280733131284607,-0.136066428320898,-0.434371249180219,-0.0783247961738802,-0.248531537416088,-0.0954698811833117,-0.358218635215973
sub_0000,ses_com,gic,Cubes_1,intercept,11.925,0.0838923108202072,-0.27241134942477,-0.125612948253425,-0.427304592092161,-0.0837135221864959,-0.240767688743122,-0.0941320929014668,-0.351363644515713
sub_0000,ses_com,gic,Cubes_1,intercept,12,0.0861226347799206,-0.262842823111303,-0.115807373483944,-0.419518080828345,-0.0889396597655966,-0.233111336548555,-0.0925799590452366,-0.34406511159747
sub_0000,ses_com,gic,Cubes_1,intercept,12.075,0.0875474865536273,-0.252210962462025,-0.106733314830903,-0.411075803049975,-0.0940237874879333,-0.225623212917942,-0.0908286329447869,-0.336353959222842
sub_0000,ses_com,gic,Cubes_1,intercept,12.15,0.0880924514419428,-0.240714871156565,-0.0984591612707462,-0.402052211042436,-0.0989957514832123,-0.218364780913574,-0.0888970835471475,-0.328262273850831
sub_0000,ses_com,gic,Cubes_1,intercept,12.225,0.0876898684677818,-0.228565923194388,-0.0910370590001741,-0.392530720479475,-0.103893562896165,-0.211397007942707,-0.0868077909423452,-0.319823362841126
sub_0000,ses_com,gic,Cubes_1,intercept,12.3,0.0862807097695835,-0.21598412269773,-0.0845021984514191,-0.382602120831518,-0.108762091361814,-0.204779129137191,-0.0845863668380989,-0.31107180387022
sub_0000,ses_com,gic,Cubes_1,intercept,12.375,0.083816327851583,-0.203194315129918,-0.0788724195464069,-0.37236282995991,-0.113651584128415,-0.198567426134605,-0.0822611047534288,-0.302043479156937
sub_0000,ses_com,gic,Cubes_1,intercept,12.45,0.0802600329274143,-0.190422320936251,-0.0741481392408195,-0.36191302847849,-0.118616044328652,-0.192814046522919,-0.0798624661016424,-0.29277558719657
sub_0000,ses_com,gic,Cubes_1,intercept,12.525,0.0755884657426938,-0.177891063876333,-0.0703125991439022,-0.351354711785569,-0.123711505066273,-0.187565888573626,-0.0774225096550771,-0.283306625019149
sub_0000,ses_com,gic,Cubes_1,intercept,12.6,0.0697927351134527,-0.165816766182022,-0.0673324248277433,-0.340789699228772,-0.128994238385586,-0.182863574752957,-0.0749742731014802,-0.273676334513342
sub_0000,ses_com,gic,Cubes_1,intercept,12.675,0.0628792938959117,-0.154405281150006,-0.0651584824816736,-0.330317640633737,-0.134518939773923,-0.178740535887973,-0.0725511164902841,-0.263925607084367
sub_0000,ses_com,gic,Cubes_1,intercept,12.75,0.0548705321220877,-0.143848630895506,-0.0637270129395046,-0.320034060391956,-0.1403369295774,-0.175222225804197,-0.0701860383035727,-0.254096341828275
sub_0000,ses_com,gic,Cubes_1,intercept,12.825,0.0458050714973601,-0.134321812813257,-0.0629610179185947,-0.310028478466066,-0.146494412570932,-0.172325483783313,-0.0679109756509651,-0.244231253488046
sub_0000,ses_com,gic,Cubes_1,intercept,12.9,0.035737751253711,-0.125979932898418,-0.0627718686600443,-0.300382646051281,-0.153030835914582,-0.170058059360645,-0.0657561006626064,-0.234373627686736
sub_0000,ses_com,gic,Cubes_1,intercept,12.975,0.0247393013724859,-0.118955717581813,-0.0630611031373104,-0.2911689312636,-0.15997738386813,-0.168418310847541,-0.0637491255257817,-0.224567022283375
sub_0000,ses_com,gic,Cubes_1,intercept,13.05,0.0128957053151823,-0.113357448260375,-0.0637223746820022,-0.282448887157835,-0.167355644959601,-0.167395085584195,-0.0619146287677881,-0.21485491513938
sub_0000,ses_com,gic,Cubes_1,intercept,13.125,0.000307260509757481,-0.109267354403464,-0.0646435123219938,-0.27427203067416,-0.17517648386353,-0.166967786370027,-0.0602734153238132,-0.205280300084942
sub_0000,ses_com,gic,Cubes_1,intercept,13.2,-0.0129126491868891,-0.106740492153028,-0.06570865138422,-0.266674856845976,-0.183439146108768,-0.167106624851155,-0.0588419226408432,-0.195885234402644
sub_0000,ses_com,gic,Cubes_1,intercept,13.275,-0.026639049109858,-0.105804125887314,-0.0668003920121592,-0.259680107860623,-0.19213061898588,-0.167773058939845,-0.0576316845583213,-0.186710342664432
